Per Capita GDP at current prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Côte d'Ivoire,286,291,326,422,487,589,674,866,"1,044","1,155","1,231",977,841,729,700,687,868,922,904,912,978,915,922,826,596,771,817,766,804,778,647,664,718,875,930,942,963,"1,079","1,258","1,233","1,236","1,246","1,270","1,446","1,542","1,413"
Croatia,,,,,,,,,,,,,,,,,,,,,"3,479","2,847","2,585","2,761","3,726","4,849","5,176","5,256","5,662","5,248","4,917","5,283","6,113","7,894","9,481","10,374","11,545","13,789","16,218","14,464","13,823","14,467","13,176","13,525","13,412","11,479"
Cuba,653,780,901,"1,088","1,224","1,380","1,445","1,474","1,837","2,003","2,025","2,039","2,111","2,228","2,400","2,273","2,383","2,455","2,646","2,577","2,707","2,280","2,057","2,071","2,621","2,790","2,284","2,306","2,331","2,560","2,750","2,841","3,003","3,201","3,399","3,787","4,678","5,194","5,386","5,495","5,689","6,139","6,448","6,790","7,088","7,657"
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,120","18,629","19,134","20,265","19,924","19,995","20,199","20,516","20,399","20,277","20,050"
Cyprus,"1,004","1,162","1,397","1,681","1,818","1,571","1,832","2,337","3,045","3,961","4,750","4,527","4,643","4,589","4,767","5,011","6,329","7,501","8,563","9,015","10,802","10,860","12,680","11,801","13,013","15,265","15,154","14,225","15,083","15,283","14,364","14,816","16,042","20,240","23,773","25,311","27,172","31,353","35,392","32,104","30,817","32,236","28,951","27,543","26,408","21,942"
Czech Republic,,,,,,,,,,,,,,,,,,,,,"3,905","2,862","3,344","3,913","4,581","5,760","6,466","5,975","6,445","6,295","5,989","6,577","7,990","9,724","11,651","13,292","15,111","18,278","22,620","19,668","19,703","21,639","19,666","19,857","19,712","17,562"
Czechoslovakia (Former),"1,136","1,183","1,348","1,582","1,685","1,844","1,804","2,567","2,806","2,996","3,120","3,301","3,319","3,291","2,971","2,968","3,478","3,898","3,846","3,764","3,659",,,,,,,,,,,,,,,,,,,,,,,,,
D.P.R. of Korea,384,413,443,477,515,558,571,587,604,622,639,653,808,794,745,722,805,836,764,811,735,663,593,503,384,222,479,462,456,452,462,476,468,471,473,548,575,597,551,494,570,638,643,666,696,648
D.R. of the Congo,238,259,279,346,411,426,390,485,670,638,593,511,497,411,241,251,282,234,260,425,424,391,344,432,226,212,211,211,216,187,174,169,171,170,190,213,247,273,311,286,329,380,417,450,480,486
Denmark,"3,464","3,848","4,657","6,127","6,778","7,997","8,775","9,769","11,815","13,749","13,883","12,074","11,793","11,847","11,555","12,254","17,224","21,385","22,562","21,914","26,895","27,012","29,570","27,587","29,966","35,357","35,710","32,888","33,403","33,456","30,751","30,775","33,271","40,516","46,563","48,815","51,994","58,428","64,302","58,157","58,007","61,687","58,409","61,089","62,388","53,149"
Djibouti,414,441,501,588,688,699,752,726,717,785,839,853,868,859,883,872,879,840,827,790,777,764,768,754,786,771,737,716,713,754,769,787,800,829,868,910,974,"1,061","1,206","1,235","1,284","1,372","1,471","1,611","1,814","1,956"
Dominica,324,360,386,443,525,551,533,587,721,701,930,"1,041","1,136","1,267","1,435","1,587","1,819","2,058","2,406","2,604","2,794","2,966","3,202","3,336","3,578","3,639","3,935","4,104","4,374","4,539","4,612","4,710","4,636","4,814","5,329","5,251","5,627","6,056","6,618","7,028","6,939","7,022","6,771","7,073","7,234","7,051"
Dominican Republic,413,450,523,600,729,875,936,"1,061","1,069","1,212","1,428","1,530","1,640","1,736","2,040",866,"1,026",940,841,"1,188","1,326","1,347","1,532","1,706","1,818","1,995","2,127","2,407","2,516","2,594","2,798","2,898","2,905","2,274","2,442","3,844","4,048","4,596","4,932","4,903","5,359","5,787","5,952","5,952","6,147","6,374"
Ecuador,471,441,495,588,970,"1,106","1,266","1,495","1,574","1,823","2,241","2,664","2,373","1,992","1,916","1,895","1,651","1,467","1,339","1,392","1,491","1,623","1,689","1,729","2,027","2,135","2,158","2,360","2,299","1,584","1,451","1,904","2,184","2,440","2,709","3,022","3,351","3,591","4,275","4,256","4,657","5,223","5,702","6,074","6,432","6,205"
Egypt,234,243,254,259,300,328,379,474,567,369,464,303,345,404,450,482,488,525,557,596,639,679,777,842,923,"1,053","1,163","1,260","1,322","1,369","1,400","1,304","1,220","1,025","1,076","1,260","1,413","1,703","2,087","2,337","2,616","2,758","3,193","3,063","3,315","3,452"
